Exec Time,Spread,Side,Qty,Pos Effect,Symbol,Exp,Strike,Type,Price,Net Price,Order Type
8/9/2025 0:40,STOCK,BUY,1700,TO CLOSE,BTAI,,,STOCK,4.2,4.2,LMT
8/9/2025 0:40,STOCK,BUY,1200,TO CLOSE,BTAI,,,STOCK,4.2,4.2,LMT
8/9/2025 0:38,STOCK,BUY,100,TO CLOSE,BTAI,,,STOCK,4.2,4.2,LMT
8/9/2025 0:32,STOCK,SELL,-500,TO OPEN,BTAI,,,STOCK,4.435,4.435,LMT
8/9/2025 0:30,STOCK,SELL,-500,TO OPEN,BTAI,,,STOCK,4.37,4.37,LMT
8/9/2025 0:30,STOCK,SELL,-500,TO OPEN,BTAI,,,STOCK,4.25,4.25,LMT
8/9/2025 0:29,STOCK,SELL,-500,TO OPEN,BTAI,,,STOCK,4.1906,4.1906,LMT
8/9/2025 0:29,STOCK,SELL,-500,TO OPEN,BTAI,,,STOCK,4.12,4.12,LMT
8/9/2025 0:29,STOCK,SELL,-500,TO OPEN,BTAI,,,STOCK,4.08,4.08,LMT
8/9/2025 0:27,STOCK,BUY,3100,TO CLOSE,BTAI,,,STOCK,3.98,3.98,LMT
8/9/2025 0:22,STOCK,SELL,-250,TO OPEN,BTAI,,,STOCK,4.23,4.23,LMT
8/9/2025 0:22,STOCK,SELL,-50,TO OPEN,BTAI,,,STOCK,4.23,4.23,LMT
8/9/2025 0:16,STOCK,SELL,-300,TO OPEN,BTAI,,,STOCK,4.16,4.16,LMT
8/9/2025 0:14,STOCK,SELL,-271,TO OPEN,BTAI,,,STOCK,4.13,4.13,LMT
8/9/2025 0:14,STOCK,SELL,-229,TO OPEN,BTAI,,,STOCK,4.13,4.13,LMT
8/8/2025 23:54,STOCK,SELL,-500,TO OPEN,BTAI,,,STOCK,4.12,4.12,LMT
8/8/2025 23:51,STOCK,SELL,-500,TO OPEN,BTAI,,,STOCK,4.11,4.11,LMT
8/8/2025 23:49,STOCK,SELL,-500,TO OPEN,BTAI,,,STOCK,3.94,3.94,LMT
8/8/2025 23:47,STOCK,SELL,-500,TO OPEN,BTAI,,,STOCK,4.065,4.065,LMT
8/8/2025 23:43,STOCK,BUY,3000,TO CLOSE,BTAI,,,STOCK,3.975,3.975,LMT
8/8/2025 23:41,STOCK,SELL,-250,TO OPEN,BTAI,,,STOCK,4.37,4.37,LMT
8/8/2025 23:41,STOCK,SELL,-250,TO OPEN,BTAI,,,STOCK,4.37,4.37,LMT
8/8/2025 23:40,STOCK,SELL,-500,TO OPEN,BTAI,,,STOCK,4.26,4.26,LMT
8/8/2025 23:38,STOCK,SELL,-500,TO OPEN,BTAI,,,STOCK,4.1,4.1,LMT
8/8/2025 23:37,STOCK,SELL,-430,TO OPEN,BTAI,,,STOCK,4,4,LMT
8/8/2025 23:37,STOCK,SELL,-70,TO OPEN,BTAI,,,STOCK,4,4,LMT
